학부,표준과정,사업별 교육체계,교육유형,학습유형,교육과정명,공개여부,학습시간,특화 직무 및 Skill set,추천 직무 및 Skill set,공통 필수 직무 및 Skill set,,URL
Project Mgmt,제안전략/PT 기본,,사내과정,오프라인집합,AI를 활용한 제안전략 수립 및 제안서 작성 기본,공개,8,Sales - Sales; Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Biz. Consulting - ESG/SHE; Manufacturing - 자동화; Solution - ERP Dev.,,,https://academy.samsung.com/education/0020jraj
Project Mgmt,PJT. 발굴/수행 Case Study,,사내과정,VOD,하나은행 마케팅 플랫폼 및 데이터 허브 차세대 시스템 구축 사례,공개,1.5,Sales - Sales; Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Biz. Consulting - ESG/SHE,,,https://learning.samsung.com/program/71n0rkr1
Project Mgmt,PJT. 발굴/수행 Case Study,,사내과정,온라인집합,[CL4의 Insight 세미나] 프로젝트 성공을 위한 PM 전략 및 주요 관리 Point,공개,1,Sales - Sales; Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Biz. Consulting - ESG/SHE,,,https://academy.samsung.com/program/df9y7isn
Project Mgmt,PJT. 발굴/수행 Case Study,,mySUNI,VOD,[CL4의 Insight 세미나] 프로젝트 성공을 위한 PM 전략 및 주요 관리 Point,공개,0,Sales - Sales; Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Biz. Consulting - ESG/SHE,,,https://samsungu.ac.kr/program/puybmoyi
SW,SW Fundamental,,사내과정,VOD,"SW Fundamental (소프트웨어 개발 프로세스 및 품질 관리, ITSM 이해)",공개,2,,,Biz. Consulting - ESG/SHE; Biz. Supporting - Biz. Supporting; AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Domain Expert - Domain Expert; Software - Front-end; Manufacturing - Factory 기획/설계; PM - Application PM; 미부여 - 미부여; Solution - ERP Dev.; Quality Mgmt - PMO,,https://edu.samsung.com/course/duzr5zyz
SW,Programming 기본,,사내과정,인증,[코딩 Test Lv.1] 개발 프로그래밍 – Java/C/Python ,공개,1.5,AIX - AI/Data Dev.; Software - Front-end,Cloud/Infra - System/Network; Biz. Consulting - ERP; PM - Application PM,,,https://samsungu.ac.kr/lecture/sa3lqn13
SW,Programming 기본,,외부과정,VOD,예제로 공부하는 Java 100 문제풀이 Part.1,공개,8,AIX - AI/Data Dev.; Software - Front-end,Cloud/Infra - System/Network; Biz. Consulting - ERP; PM - Application PM,,,https://edu.samsung.com/program/sl43zgp6
SW,Programming 기본,,외부과정,VOD,나도코딩의 자바 기본편,공개,20,AIX - AI/Data Dev.; Software - Front-end,Cloud/Infra - System/Network; Biz. Consulting - ERP; PM - Application PM,,,https://academy.samsung.com/course/o3p0mizl
SW,Programming 기본,,외부과정,VOD,파이썬 기초 강의 - 프로그래밍 입문,공개,3,AIX - AI/Data Dev.; Software - Front-end,Cloud/Infra - System/Network; Biz. Consulting - ERP; PM - Application PM,,,https://edu.samsung.com/program/0cv0eg2m
SW,Programming 기본,,외부과정,VOD,Do it! C# 프로그래밍 입문,공개,7,AIX - AI/Data Dev.; Software - Front-end,Cloud/Infra - System/Network; Biz. Consulting - ERP; PM - Application PM,,,https://academy.samsung.com/education/47bvawrk
SW,Programming 기본,,외부과정,VOD,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,공개,9,AIX - AI/Data Dev.; Software - Front-end,Cloud/Infra - System/Network; Biz. Consulting - ERP; PM - Application PM,,,https://samsungu.ac.kr/learning/kh0zc1tc
